,Job_Name,Company,Location,Job_type,Employees,Followers,Applicant,Industry,Involvement
62,Deputy Manager-Production,Jubilant Pharmova Limited,"Nanjangud, Karnataka, India",On-site,10001,164951,102,Pharmaceuticals,Full-time · Mid-Senior level
63,"TSM, TSE, ASE, - Meril Trauma Division",Meril,"Ranchi, Jharkhand, India",On-site,5000,63874,200,Medical Device,Full-time · Mid-Senior level
64,Consultant - CAR,Rizing Consumer Industries,"Bangalore Urban, Karnataka, India",Hybrid,5000,29761,96,Information Technology & Services,Full-time · Director
65,Area Head -  Direct Distribution,Bharti AXA Life Insurance,"Warangal, Telangana, India",On-site,10000,88546,51,Insurance,Full-time · Mid-Senior level
66,Agency Development Manager,HDFC Life Insurance,"Chennai, Tamil Nadu, India",Hybrid,5000,594,25,Insurance,Full-time · Mid-Senior level
67,AGM - Technology,Matrimony.com Limited,"Chennai, Tamil Nadu, India",On-site,5000,61292,56,Computer Software,Full-time · Entry level
68,ACR Stat Senior,EY,"Trivandrum, Kerala, India",On-site,10001,7366424,19,Information Technology & Services,Full-time · Mid-Senior level
69,Field Specialist - Coiled Tubing,Baker Hughes,"Rajasthan, India",On-site,10001,2075442,16,Oil & Energy,Full-time · Entry level
70,Senior Data Engineer,IT OPENDOORS LLC,"Hyderabad, Telangana, India",On-site,200,2337,8,Computer Software,Full-time
71,IAM Specialist - Directory Services (Staff Augmentation),EY,"Trivandrum, Kerala, India",On-site,10001,7366426,7,Information Technology & Services,Full-time · Associate
72,Sr Systems Engineer 1/Sr Systems Engineer 2 - Security Operations,Rakuten India,"Bengaluru, Karnataka, India",On-site,5000,203113,41,Computer Software,Full-time · Mid-Senior level
73,Python & Web Scraping || Face-to-Face Interview,Infiniti Research Ltd.,"Bengaluru, Karnataka, India",On-site,1000,109865,99,Market Research,Contract · Entry level
74,"Software Engineer 2 (C#, ASP.Net MVC, API & SQL)",[24]7.ai,"Bengaluru East, Karnataka, India",On-site,10001,156228,1,Computer Software,Full-time · Entry level
75,Field Specialist - Coiled Tubing,Baker Hughes,"Rajasthan, India",On-site,10001,2075443,16,Oil & Energy,Full-time · Entry level
77,GCP Adminstrator,Infosys,"Pune, Maharashtra, India",On-site,10001,6987114,49,Information Technology & Services,Full-time · Mid-Senior level
78,Satutory Analyst/ Executive,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",Hybrid,10000,256274,13,Information Technology & Services,Full-time · Entry level
79,Payment Collection Officer-Mumbai,Wabtec Corporation,"Tamil Nadu, India",On-site,10001,131451,24,Railroad Manufacture,Full-time · Entry level
80,IT Unified Communications Engineer,AMD,"Hyderabad, Telangana, India",On-site,10001,1068687,112,Semiconductors,Full-time · Mid-Senior level
81,Senior Lead Implementation Analyst - Automation,LifeWorks (acquise par TELUS Santé | acquired by TELUS Health),"Noida, Uttar Pradesh, India",Hybrid,10000,86062,77,Human Resources,Full-time · Entry level
82,IT Delivery,Infosys,"Hyderabad, Telangana, India",On-site,10001,6987114,7,Information Technology & Services,Full-time · Mid-Senior level
83,L3 Support Consultant - SFCC,Litmus7,"Kochi, Kerala, India",Hybrid,500,21852,27,Information Technology & Services,Full-time · Associate
85,Senior Service Operator,Allegis Global Solutions,"Hyderabad, Telangana, India",Hybrid,5000,163552,64,Staffing & Recruiting,Full-time · Mid-Senior level
86,Abinitio with Meta Data Bangalore,Virtusa,"Karnataka, India",Hybrid,10001,885736,32,Information Technology & Services,Full-time · Mid-Senior level
87,Senior Manager- Cloud and DevOps,Successive Digital,"Noida, Uttar Pradesh, India",On-site,1000,58451,182,Information Technology & Services,Full-time · Mid-Senior level
88,Data Analyst,IKEA,"Bengaluru, Karnataka, India",Hybrid,10001,2652482,200,Retail,Full-time
89,Sr Engineer AI & MLOps,Alcon,"Bengaluru, Karnataka, India",On-site,10001,535459,42,Medical Device,Full-time · Mid-Senior level
90,IT Delivery,Infosys,"Bengaluru East, Karnataka, India",On-site,10001,6987122,1,Information Technology & Services,Full-time · Mid-Senior level
91,Technical Lead,Wipro,"Mumbai, Maharashtra, India",On-site,10001,6921189,47,Information Technology & Services,Full-time
92,Pega CSSA CLSA,Process360 Ltd,"Hyderabad, Telangana, India",Hybrid,200,7573,98,Information Technology & Services,Full-time
93,Anaplan modelling,Tata Consultancy Services,"Gurugram, Haryana, India",Hybrid,10001,12345432,40,Information Technology & Services,Full-time · Mid-Senior level
94,Technical Lead - Client Services,Anthology Inc,"Bengaluru, Karnataka, India",On-site,5000,37321,39,Higher Education,Full-time · Mid-Senior level
95,Job Opening for Manhattan  WMS @ Pan India,HCLTech,"Tamil Nadu, India",Hybrid,10001,4675831,82,Information Technology & Services,Full-time · Mid-Senior level
96,Technical Lead,MiQ,"Bangalore Urban, Karnataka, India",Hybrid,1000,48092,31,Marketing & Advertising,Full-time · Mid-Senior level
97,Tech Lead- MENA Technology,EY,"Trivandrum, Kerala, India",On-site,10001,7366457,29,Information Technology & Services,Full-time · Mid-Senior level
98,Java Team Lead,eSales Technologies,"Coimbatore, Tamil Nadu, India",On-site,200,1251,17,Information Technology & Services,Full-time
99,Senior Product Cyber Security Engineer II,Beckman Coulter Diagnostics,"Bengaluru, Karnataka, India",Hybrid,10001,257821,14,Medical Device,Full-time
101,Tax Reporting & Compliance Engineer,A.P. Moller - Maersk,"Bengaluru, Karnataka, India",Hybrid,10001,1539791,45,Transportation/Trucking/Railroad,Full-time · Mid-Senior level
102,Lead Software Engineer – Full stack,Nissan Motor Corporation,"Trivandrum, Kerala, India",On-site,10001,1382219,26,Automotive,Full-time
103,IT Delivery,Infosys,"Bengaluru East, Karnataka, India",On-site,10001,6987131,1,Information Technology & Services,Full-time · Mid-Senior level
104,Lead Software Engineer,HERE Technologies,"Bengaluru East, Karnataka, India",Hybrid,10000,198842,25,Information Technology & Services,Full-time · Mid-Senior level
105,Head Marketing - Sesa Coke Gujarat Business,Vedanta Sesa Goa,"Gujarat, India",On-site,10000,27251,200,Mining & Metals,Full-time · Mid-Senior level
106,Senior Java Software Engineer,Advantal Technologies Private Limited,"Indore, Madhya Pradesh, India",On-site,200,11122,60,Information Technology & Services,Full-time
107,Sr Engineer AI & MLOps,Alcon,"Bengaluru, Karnataka, India",On-site,10001,535461,42,Medical Device,Full-time · Mid-Senior level
108,IAM Specialist - Directory Services (Staff Augmentation),EY,"Trivandrum, Kerala, India",On-site,10001,7366465,7,Information Technology & Services,Full-time · Associate
109,Commercial Leader,Wabtec Corporation,"Tamil Nadu, India",On-site,10001,131450,19,Railroad Manufacture,Full-time · Mid-Senior level
110,Superviseur Distribution,Bimbo Bakeries USA,"Jalalabad, Punjab, India",On-site,10001,196540,31,Food Production,Contract · Mid-Senior level
111,Internal Audit - Infosec Specialist,Accenture in India,"Open Area, Delhi, India",Hybrid,10001,1628833,80,Information Technology & Services,Full-time · Mid-Senior level
112,"Engineer, Application Management",LSEG (London Stock Exchange Group),"Bengaluru, Karnataka, India",Hybrid,10001,246025,77,Financial Services,Full-time · Entry level
113,Associate,PwC India,"Bengaluru, Karnataka, India",On-site,10000,1079203,93,Management Consulting,Full-time · Entry level
114,PERSONAL BANKER,DBS Bank,"Bengaluru South, Karnataka, India",On-site,10001,819823,72,Banking,Full-time
115,Senior Software Engineer,Advanced,Greater Bengaluru Area,Hybrid,5000,51569,101,Computer Software,Full-time · Mid-Senior level
116,"Technical Specialist - MS, Network",NTT Global Data Centers,"Mumbai, Maharashtra, India",Hybrid,1000,40828,21,Information Technology & Services,Full-time · Mid-Senior level
118,Senior Cloud Architect,Atotech an MKS Brand,"Manesar, Haryana, India",Hybrid,5000,54529,51,Chemicals,Full-time · Mid-Senior level
119,Python Developer,ESDS Software Solution Limited,"Nashik, Maharashtra, India",On-site,1000,29740,102,Information Technology & Services,Full-time
120,Platform Support Engineer I - Cyber Security,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821597,36,Information Technology & Services,Full-time · Entry level
121,User Interface Developer,Skaut,"Kochi, Kerala, India",On-site,10,2186,19,Human Resources,Full-time
122,"Technical Specialist – MS, AWS",NTT Global Data Centers,"Mumbai, Maharashtra, India",Hybrid,1000,40830,57,Information Technology & Services,Full-time · Mid-Senior level
123,Value Stream Leader,GKN Automotive,"Sriperumbudur, Tamil Nadu, India",On-site,10001,107997,155,Automotive,Full-time · Mid-Senior level
124,Oracle Database Administrator,Tata Consultancy Services,"Chennai, Tamil Nadu, India",On-site,10001,12346260,113,Information Technology & Services,Full-time · Associate
125,Senior Data Analyst/Data Modellers,EPAM Systems,"Hyderabad, Telangana, India",Remote,10001,861706,118,Information Technology & Services,Full-time · Associate
126,"Lead - Data Analyst (Big Data, PySpark)",Citi,"Bengaluru, Karnataka, India",On-site,10001,4045391,89,Financial Services,Full-time
127,Senior Analytics Consultant,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160649,3,Financial Services,Full-time · Mid-Senior level
128,Senior Data Analyst,Flexmoney Technologies Pvt Ltd,"Mumbai, Maharashtra, India",On-site,50,11945,200,Financial Services,Full-time · Mid-Senior level
129,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",Hybrid,10001,2160650,3,Financial Services,Full-time · Mid-Senior level
130,Business Intelligence Specialist,VAYUZ Technologies,India,Remote,200,35312,200,Information Technology & Services,Full-time · Mid-Senior level
131,ICG - Analytics Markets,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045394,31,Financial Services,Full-time
132,Data Analyst,twid,"Bengaluru, Karnataka, India",On-site,50,11895,200,Internet,Full-time · Associate
133,Data Analyst,Acme Services,"Mumbai, Maharashtra, India",Hybrid,200,162453,200,Human Resources,Full-time · Mid-Senior level
134,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",On-site,10001,821648,184,Information Technology & Services,Full-time · Mid-Senior level
135,Senior Data Analyst(Power BI/Python),Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",Hybrid,10000,256298,33,Information Technology & Services,Full-time · Entry level
136,Expression of Interest: Data Analyst,Fingerprint for Success (F4S),India,Remote,50,106615,200,Computer Software,Full-time · Entry level
137,Data Science,TransUnion,"Pune, Maharashtra, India",On-site,10001,322050,22,Information Technology & Services,Full-time
138,SGEF UK Data Transformation Analyst,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",Hybrid,10000,256298,16,Information Technology & Services,Part-time · Entry level
139,Quantitative Analytics Specialist,Wells Fargo,"Bengaluru, Karnataka, India",On-site,10001,2160653,3,Financial Services,Full-time · Associate
140,Data Analyst 3,Zynga,"Bengaluru, Karnataka, India",Hybrid,5000,212344,200,Computer Games,Full-time · Mid-Senior level
141,Analyst,CRISIL Limited,Mumbai Metropolitan Region,On-site,5000,471962,200,Financial Services,Full-time · Entry level
142,Interesting Job Opportunity: Tata Power - Data Scientist - Predictive Modeling/Machine Learning,TATA Power,"Mumbai, Maharashtra, India",Hybrid,10001,1054843,200,Utilities,Full-time · Entry level
143,"Data & Analytics Analyst, Financial Crime",NatWest Group,"Chennai, Tamil Nadu, India",On-site,10001,549846,33,Banking,Full-time · Associate
144,Data Analyst,Turing,India,Remote,5000,215907,200,Information Technology & Services,Full-time · Entry level
145,Data Analyst-BI,Excellence and Eminence LLP,"Bengaluru North, Karnataka, India",On-site,50,1263,67,Professional Training & Coaching,Full-time · Mid-Senior level
146,Data Analyst,"Saaki, Argus and Averil Consulting","Chennai, Tamil Nadu, India",On-site,200,3911,83,Staffing & Recruiting,Full-time · Entry level
147,E-data Senior Analyst,NielsenIQ,"Gurugram, Haryana, India",On-site,10001,698865,17,Information Services,Full-time · Mid-Senior level
148,Spec Analytics Analyst - C11 - DS,Citi,"Bengaluru, Karnataka, India",On-site,10001,4045398,5,Financial Services,Full-time
149,In-Business Credit Risk Quality Assurance Data Analyst for Wealth Management,Citi,"Mumbai, Maharashtra, India",On-site,10001,4045398,14,Financial Services,Full-time
150,Senior Consultant - Data Analytics-CPG038927,Genpact,"Gurugram, Haryana, India",On-site,10001,2639232,63,Information Technology & Services,Full-time · Associate
151,Lead Big Data Analyst,Near,Greater Bengaluru Area,On-site,500,20546,10,Computer Software,Full-time · Mid-Senior level
152,Senior Power BI Specialist,ICF,"Delhi Cantonment, Delhi, India",On-site,10000,169861,105,Management Consulting,Full-time · Mid-Senior level
153,Data Analyst_Assistant Manager_Pune,_VOIS,"Pune, Maharashtra, India",On-site,10001,139910,200,Information Technology & Services,Full-time · Entry level
154,Data Analyst (6),ITI Data,"Ramban, Jammu & Kashmir, India",Hybrid,500,6753,16,Information Technology & Services,Full-time · Entry level
155,Sr Analyst Promotions Insight,Target,"Bengaluru, Karnataka, India",On-site,10001,1682924,58,Retail,Full-time · Mid-Senior level
156,Data Researcher,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353900,68,Financial Services,Full-time
157,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Trivandrum, Kerala, India",On-site,10001,7366822,57,Information Technology & Services,Full-time · Entry level
158,Product Analyst Internship,Moment,"Gurugram, Haryana, India",On-site,50,1114,157,"Health, Wellness & Fitness",Internship
159,Pharma Forecasting,WNS,"Bengaluru East, Karnataka, India",On-site,10001,645669,200,Outsourcing/Offshoring,Full-time · Mid-Senior level
160,Data Analyst - Big Data/Python,Emproto Technologies,"Hyderabad, Telangana, India",On-site,200,5550,80,Information Technology & Services,Full-time · Entry level
161,Data Analyst,WSP,"Noida, Uttar Pradesh, India",Hybrid,10001,713008,200,Information Technology & Services,Contract · Entry level
162,Data Analyst,Graphene AI,"Bengaluru North, Karnataka, India",Hybrid,200,4996,4,Information Technology & Services,Full-time · Mid-Senior level
163,Senior Data Analyst – SAS & Power BI,Exusia,"Bengaluru, Karnataka, India",Remote,1000,26226,200,Management Consulting,Full-time
164,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160658,1,Financial Services,Full-time · Mid-Senior level
165,Business Data Analyst,M&G Global Services Private Limited,"Mumbai, Maharashtra, India",Hybrid,1000,8726,200,Financial Services,Full-time
166,"ESG Data Analyst, AVP",Deutsche Bank,"Mumbai, Maharashtra, India",On-site,10001,1898280,194,Financial Services,Full-time · Mid-Senior level
167,Data Analyst (Data Validation),m360 Research,"Bengaluru, Karnataka, India",Hybrid,500,16433,200,Market Research,Full-time · Associate
168,Senior Data Analyst/Data Modellers,EPAM Systems,"Pune, Maharashtra, India",Remote,10001,861713,179,Information Technology & Services,Full-time · Associate
169,Business Intelligence Specialist,Al Gihaz Holding,"Chennai, Tamil Nadu, India",On-site,5000,136285,132,Electrical & Electronic Manufacturing,Full-time · Mid-Senior level
170,Research - Data Analyst / Senior Data Analyst,ISG (Information Services Group),"Bengaluru, Karnataka, India",On-site,5000,42966,200,Information Services,Full-time · Mid-Senior level
171,Business Intelligence Senior Specialist,NTT DATA Services,"Hyderabad, Telangana, India",On-site,10001,487139,31,Information Technology & Services,Full-time · Mid-Senior level
172,Data Analyst,S&P Global,"Gurgaon, Haryana, India",On-site,10001,353900,52,Financial Services,Full-time
173,"Lead Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497670,41,Financial Services,Full-time
174,Data Analyst,Collegedunia,"Gurgaon, Haryana, India",On-site,1000,132677,200,Information Technology & Services,Full-time · Entry level
175,Analyst - Data Analytics,TIAA,"Mumbai, Maharashtra, India",On-site,10001,166768,19,Financial Services,Full-time · Entry level
176,ETL Testing,CodersBrain,"Bengaluru, Karnataka, India",Remote,500,58814,93,Information Technology & Services,Full-time · Associate
177,Data Analyst - Power BI/Tableau,DSRC,"Chennai, Tamil Nadu, India",On-site,500,4789,41,Information Technology & Services,Full-time · Mid-Senior level
178,ServiceNow Performance Analytics and Reporting Analyst,Workday,"Pune, Maharashtra, India",Hybrid,10001,761381,200,Computer Software,Full-time
179,Senior Business Intelligence Analyst,GoGuardian,India,Remote,1000,31580,200,E-learning,Full-time · Mid-Senior level
180,Data Analyst,Dun & Bradstreet Technology and Corporate Services India LLP,"Hyderabad, Telangana, India",On-site,1000,9044,200,Information Services,Full-time · Mid-Senior level
183,Senior Consultant - Data Analytics-CPG038927,Genpact,"Gurugram, Haryana, India",On-site,10001,2639250,63,Information Technology & Services,Full-time · Associate
184,Twid - Data Analyst - R/SQL/Python,twid,"Bengaluru, Karnataka, India",On-site,50,11895,200,Internet,Full-time · Entry level
185,Senior Analytics Consultant,Wells Fargo,"Hyderabad, Telangana, India",On-site,10001,2160662,1,Financial Services,Full-time · Mid-Senior level
186,"Senior Business Intelligence Analyst (Bangkok based, relocation provided)",Agoda,"New Delhi, Delhi, India",Hybrid,10000,449081,13,Computer Software,Full-time · Mid-Senior level
187,Postdoctoral Researcher,Amrita Vishwa Vidyapeetham,"Kollam, Kerala, India",On-site,10000,72934,46,Higher Education,Full-time
188,Associate III - Data Analysis,UST,"Thiruvananthapuram, Kerala, India",Hybrid,10001,821651,107,Information Technology & Services,Full-time · Mid-Senior level
189,"Senior Analyst, IME - Insights APAC",Guidepoint,"Mumbai, Maharashtra, India",Hybrid,5000,120616,6,Information Services,Full-time · Mid-Senior level
190,Marketing Data Analyst,Purple Drive Technologies,"Pune, Maharashtra, India",On-site,200,72621,47,Information Technology & Services,Full-time
191,Data Analyst,Entrupy,"Bengaluru East, Karnataka, India",Hybrid,200,1867,182,Computer Software,Full-time
192,"Principal, Data Scientist",BNY Mellon,"Pune, Maharashtra, India",On-site,10001,497673,59,Financial Services,Full-time
193,Analyst- Wallets,CRISIL Limited,"Mumbai, Maharashtra, India",Hybrid,5000,471963,121,Financial Services,Full-time · Entry level
194,Data Analyst,JobDost,"Bengaluru North, Karnataka, India",On-site,200,10565,21,Human Resources,Full-time · Associate
195,EA_P&U_Data Analyst (P&U OT)_Staff,EY,"Trivandrum, Kerala, India",On-site,10001,7366840,70,Information Technology & Services,Full-time · Entry level
196,Data Scientist/Quantitative Analyst,Antier Solutions,"Sahibzada Ajit Singh Nagar, Punjab, India",Hybrid,1000,15052,10,Information Technology & Services,Full-time · Mid-Senior level
197,Data Analyst (Tableau),SA Technologies Inc.,"Mumbai, Maharashtra, India",Hybrid,1000,50733,126,Information Technology & Services,Full-time · Associate
198,Data Analyst (1),ITI Data,"Ramban, Jammu & Kashmir, India",Hybrid,500,6753,6,Information Technology & Services,Full-time · Mid-Senior level
199,Sr. Data Analyst,Credibly,"Maharashtra, India",Remote,200,8119,200,Financial Services,Full-time · Mid-Senior level
200,Business / Data Analyst,Solytics Partners,"Pune, Maharashtra, India",On-site,500,3646,71,Financial Services,Full-time · Associate
201,Apply for Junior Research Analyst - Benchmarking - KPO,Incisive Research,"Delhi, Delhi, India",Hybrid,200,1263,71,Market Research,Full-time · Entry level
202,Associate Statistician,GSK,"Bengaluru, Karnataka, India",On-site,10001,3563536,113,Pharmaceuticals,Full-time
203,Dataanalyst+Qlikview_Deepanshi_TTP,CodersBrain,"Bengaluru, Karnataka, India",Remote,500,58815,25,Information Technology & Services,Full-time · Mid-Senior level
204,Senior Lead Data Analyst,Atkins,"Bengaluru, Karnataka, India",On-site,10001,789935,7,Design,Full-time · Mid-Senior level
205,Data Analyst,FloBiz,"Bengaluru, Karnataka, India",On-site,200,17321,200,Information Technology & Services,Full-time · Entry level
